,vault_name,vault_type,vault_apy,vault_total_assets
2021-04-22 17:59:09.742453,crvOBTC,v1,18.54%,"$8,488,363"
2021-04-22 17:59:09.762660,crvSBTC,v1,0.00%,"$15,057,941"
2021-04-22 17:59:09.783564,crvSUSD,v1,28.20%,"$32,681,160"
2021-04-22 17:59:09.801486,USDT,v1,12.55%,"$11,165,268"
2021-04-22 17:59:09.845489,crvHBTC,v1,6.38%,"$258,577"
2021-04-22 17:59:09.889742,crvPBTC,v1,16.92%,"$3,069,166"
2021-04-22 17:59:09.952924,crvEURS,v1,89.84%,"$18,816,640"
2021-04-22 17:59:09.992381,crvTBTC,v1,7.34%,$0
2021-04-22 17:59:10.018300,crvHUSD,v1,35.62%,$87
2021-04-22 17:59:10.052333,TUSD,v1,12.47%,"$3,290,485"
2021-04-22 17:59:10.086028,crvBBTC,v1,4.19%,"$2,894,358"
2021-04-22 17:59:10.114781,LINK,v1,0.00%,"$307,651"
2021-04-22 17:59:10.146946,DAI,v1,12.76%,"$7,614,397"
2021-04-22 17:59:10.175890,crvUSDP,v1,39.43%,"$60,106,604"
2021-04-22 17:59:10.199443,crvBUSD,v1,14.87%,"$21,441,928"
2021-04-22 17:59:10.222703,crvANKR,v1,10.88%,"$2,101,507"
2021-04-22 17:59:10.245450,aLINK,v1,0.00%,"$17,031,138"
2021-04-22 17:59:10.267323,YFI,v1,0.00%,"$4,788,911"
2021-04-22 17:59:10.290345,crvRENBTC,v1,0.00%,"$16,184"
2021-04-22 17:59:10.315927,mUSD,v1,49.10%,"$166,757"
2021-04-22 17:59:10.339052,ETH,v1,0.00%,"$8,082,390"
2021-04-23 18:06:11.913666,yveCRV - ETH,v1,51.96%,"$11,679,673"
2021-04-23 18:06:11.919448,yveCRV,v1,18.84%,$0
2021-04-23 18:06:11.924501,USDC,v2,16.13%,"$133,907,559"
2021-04-23 18:06:11.930555,crvIB,v2,21.06%,"$161,862,522"
2021-04-23 18:06:11.935906,HEGIC,v2,0.77%,"$482,715"
2021-04-23 18:06:11.942712,crvHBTC,v2,10.71%,"$8,725,025"
2021-04-23 18:06:11.948632,crvRENBTC,v2,1.54%,"$48,862"
2021-04-23 18:06:11.956548,crvSAAVE,v2,45.47%,"$7,316,565"
2021-04-23 18:06:11.963270,DAI,v2,14.37%,"$441,636,096"
2021-04-23 18:06:11.971231,1INCH,v2,7.39%,"$540,726"
2021-04-23 18:06:11.979515,WETH,v2,5.78%,"$155,841,236"
2021-04-23 18:06:11.988266,WBTC,v2,5.44%,"$1,047,229"
2021-04-23 18:06:11.997894,crvSETH,v2,11.17%,"$133,280,597"
2021-04-23 18:06:12.007388,crvSTETH,v2,12.00%,"$193,763,630"
2021-04-23 18:06:12.017236,YFI,v2,2.61%,"$196,619,937"
2021-04-23 18:06:12.027527,crvSBTC,v2,3.50%,"$5,682,248"
2021-04-23 18:06:12.041125,ETH,v2,5.78%,"$155,841,236"
2021-04-23 18:06:12.061164,crvMUSD,v1,20.78%,"$2,061,955"
2021-04-23 18:06:12.084900,yCRV,v1,13.98%,"$45,990,162"
2021-04-23 18:06:12.114430,crvGUSD,v1,16.65%,"$31,596,373"
2021-04-23 18:06:12.138602,crvAAVE,v1,23.66%,"$21,105,435"
2021-04-23 18:06:12.169601,USDC,v1,13.43%,"$11,016,924"
2021-04-23 18:06:12.193695,crvSAAVE,v1,0.00%,"$1,663,716"
2021-04-23 18:06:12.221287,crvDUSD,v1,31.23%,"$3,308,569"
2021-04-23 18:06:12.244036,WETH,v1,0.00%,"$7,329,839"
2021-04-23 18:06:12.279612,crvUSDN,v1,27.32%,"$50,289,326"
2021-04-23 18:06:12.311604,crvCOMP,v1,17.13%,"$36,770,158"
2021-04-23 18:06:12.340963,crvUST,v1,39.89%,"$4,554,911"
2021-04-23 18:06:12.380079,crvLINK,v1,10.97%,"$80,280,471"
2021-04-23 18:06:12.433855,3Crv,v1,12.26%,"$82,670,456"
2021-04-23 18:06:12.482781,crvOBTC,v1,17.68%,"$8,037,850"
2021-04-23 18:06:12.521705,crvSBTC,v1,0.00%,"$13,666,669"
2021-04-23 18:06:12.545099,crvSUSD,v1,23.97%,"$32,814,686"
2021-04-23 18:06:12.568063,USDT,v1,11.88%,"$11,264,870"
2021-04-23 18:06:12.646448,crvHBTC,v1,5.66%,"$218,018"
2021-04-23 18:06:12.681908,crvPBTC,v1,13.88%,"$2,852,369"
2021-04-23 18:06:12.717543,crvEURS,v1,64.43%,"$19,524,002"
2021-04-23 18:06:12.741345,crvTBTC,v1,6.44%,$0
2021-04-23 18:06:12.762933,crvHUSD,v1,30.15%,$654
2021-04-23 18:06:12.782989,TUSD,v1,13.03%,"$3,257,316"
2021-04-23 18:06:12.804975,crvBBTC,v1,4.87%,"$2,688,076"
2021-04-23 18:06:12.826127,LINK,v1,0.00%,"$280,073"
2021-04-23 18:06:12.848915,DAI,v1,11.98%,"$7,604,378"
2021-04-23 18:06:12.872527,crvUSDP,v1,33.70%,"$54,652,011"
2021-04-23 18:06:12.895461,crvBUSD,v1,14.53%,"$21,454,586"
2021-04-23 18:06:12.918834,crvANKR,v1,9.91%,"$1,899,359"
2021-04-23 18:06:12.943178,aLINK,v1,0.00%,"$14,758,575"
2021-04-23 18:06:12.968074,YFI,v1,0.00%,"$4,096,488"
2021-04-23 18:06:12.993041,crvRENBTC,v1,0.00%,"$15,039"
2021-04-23 18:06:13.018847,mUSD,v1,0.00%,"$272,069"
2021-04-23 18:06:13.043060,ETH,v1,0.00%,"$7,329,839"
2021-04-24 16:38:47.012804,yveCRV - ETH,v1,0.00%,"$11,606,021"
2021-04-24 16:38:47.020108,yveCRV,v1,19.09%,$0
2021-04-24 16:38:47.025390,USDC,v2,17.82%,"$141,143,915"
2021-04-24 16:38:47.030443,crvIB,v2,18.56%,"$161,662,758"
2021-04-24 16:38:47.035809,HEGIC,v2,0.77%,"$442,997"
2021-04-24 16:38:47.041924,crvHBTC,v2,9.79%,"$9,514,613"
2021-04-24 16:38:47.049526,crvRENBTC,v2,1.17%,"$48,991"
2021-04-24 16:38:47.057561,crvSAAVE,v2,18.00%,"$7,558,046"
2021-04-24 16:38:47.066548,DAI,v2,13.31%,"$446,827,544"
2021-04-24 16:38:47.075191,1INCH,v2,7.39%,"$540,238"
2021-04-24 16:38:47.084498,WETH,v2,5.58%,"$153,008,049"
2021-04-24 16:38:47.096640,WBTC,v2,5.44%,"$1,052,544"
2021-04-24 16:38:47.104938,crvSETH,v2,10.68%,"$129,047,924"
2021-04-24 16:38:47.115020,crvSTETH,v2,12.15%,"$190,470,029"
2021-04-24 16:38:47.125003,YFI,v2,2.26%,"$184,717,042"
2021-04-24 16:38:47.137063,crvSBTC,v2,3.26%,"$5,759,959"
2021-04-24 16:38:47.149507,ETH,v2,5.58%,"$153,008,049"
2021-04-24 16:38:47.161351,crvMUSD,v1,19.59%,"$2,003,193"
2021-04-24 16:38:47.172942,yCRV,v1,16.44%,"$45,793,708"
2021-04-24 16:38:47.185670,crvGUSD,v1,14.96%,"$32,005,593"
2021-04-24 16:38:47.198898,crvAAVE,v1,20.49%,"$21,047,628"
2021-04-24 16:38:47.211861,USDC,v1,13.44%,"$10,926,148"
2021-04-24 16:38:47.225850,crvSAAVE,v1,0.00%,"$1,550,332"
2021-04-24 16:38:47.239447,crvDUSD,v1,29.45%,"$2,968,729"
2021-04-24 16:38:47.253862,WETH,v1,0.00%,"$7,145,908"
2021-04-24 16:38:47.268351,crvUSDN,v1,24.03%,"$50,536,401"
2021-04-24 16:38:47.283624,crvCOMP,v1,15.31%,"$36,618,602"
2021-04-24 16:38:47.298734,crvUST,v1,35.50%,"$5,701,730"
2021-04-24 16:38:47.318824,crvLINK,v1,9.60%,"$76,819,283"
2021-04-24 16:38:47.338723,3Crv,v1,10.58%,"$82,474,710"
2021-04-24 16:38:47.359496,crvOBTC,v1,22.03%,"$7,983,019"
2021-04-24 16:38:47.383190,crvSBTC,v1,0.00%,"$13,551,905"
2021-04-24 16:38:47.404369,crvSUSD,v1,21.68%,"$32,751,493"
2021-04-24 16:38:47.422932,USDT,v1,11.88%,"$11,123,485"
2021-04-24 16:38:47.441929,crvHBTC,v1,5.22%,"$209,209"
2021-04-24 16:38:47.463363,crvPBTC,v1,14.67%,"$3,135,848"
2021-04-24 16:38:47.497502,crvEURS,v1,61.42%,"$20,786,674"
2021-04-24 16:38:47.522615,crvTBTC,v1,6.07%,$0
2021-04-24 16:38:47.565898,crvHUSD,v1,26.91%,$641
2021-04-24 16:38:47.590976,TUSD,v1,12.86%,"$3,220,576"
2021-04-24 16:38:47.616475,crvBBTC,v1,3.72%,"$2,690,108"
2021-04-24 16:38:47.637651,LINK,v1,0.00%,"$263,966"
2021-04-24 16:38:47.659462,DAI,v1,10.97%,"$7,508,427"
2021-04-24 16:38:47.682380,crvUSDP,v1,31.63%,"$55,356,132"
2021-04-24 16:38:47.704805,crvBUSD,v1,16.77%,"$21,442,796"
2021-04-24 16:38:47.730378,crvANKR,v1,12.63%,"$976,922"
2021-04-24 16:38:47.754032,aLINK,v1,0.00%,"$13,656,677"
2021-04-24 16:38:47.777847,YFI,v1,0.00%,"$3,913,638"
2021-04-24 16:38:47.802602,crvRENBTC,v1,0.00%,"$15,078"
2021-04-24 16:38:47.828422,mUSD,v1,19.77%,"$283,444"
2021-04-24 16:38:47.856603,ETH,v1,0.00%,"$7,145,908"
2021-04-25 14:27:14.025576,yveCRV - ETH,v1,0.00%,"$12,134,076"
2021-04-25 14:27:14.040446,yveCRV,v1,18.92%,$0
2021-04-25 14:27:14.049068,USDC,v2,15.78%,"$147,116,298"
2021-04-25 14:27:14.073537,crvIB,v2,18.79%,"$164,267,363"
2021-04-25 14:27:14.090574,HEGIC,v2,0.77%,"$459,491"
2021-04-25 14:27:14.101802,crvHBTC,v2,10.11%,"$9,897,824"
2021-04-25 14:27:14.118461,crvOBTC,v2,31.52%,"$1,430,666"
2021-04-25 14:27:14.131549,crvRENBTC,v2,1.67%,"$48,751"
2021-04-25 14:27:14.151121,crvSAAVE,v2,17.66%,"$7,523,899"
