,vault_name,vault_apy,vault_total_assets
2021-04-20 16:44:49.163514, MASK20-ETH,291.97%  ,219.25K
2021-04-20 16:44:49.187984, ROPE20-ETH,441.83%  ,183.55K
2021-04-20 16:44:49.216150, MCAT20-ETH,396.06%  ,166.41K
2021-04-20 16:44:49.256659, 1INCH-ETH,74.32%  ,1.22M
2021-04-20 16:44:49.282998, 1INCH-USDC,108.25%  ,899.01K
2021-04-20 16:44:49.307179, 1INCH-WBTC,86.24%  ,1.45M
2021-04-20 16:44:49.369692, ETH-DAI,50.74%  ,233.91K
2021-04-20 16:44:49.391213, ETH-USDC,42.08%  ,409.63K
2021-04-20 16:44:49.411128, ETH-USDT,50.79%  ,340.80K
2021-04-20 16:44:49.430912, ETH-WBTC,26.13%  ,9.67M
2021-04-20 16:44:49.468223, ETH-SUSHI,39.11%  ,919.46K
2021-04-20 16:44:49.487772, ETH-DAI,32.13%  ,14.24M
2021-04-20 16:44:49.509737, ETH-USDC,24.99%  ,10.20M
2021-04-20 16:44:49.531048, ETH-USDT,30.77%  ,28.44M
2021-04-20 16:44:49.552198, ETH-WBTC,9.96%  ,14.13M
2021-04-20 16:44:49.574865, ETH-UST,72.07%  ,457.14K
2021-04-20 16:44:49.614423, ETH-DPI,19.97%  ,3.03M
2021-04-20 16:44:49.634032, WBTC-KBTC,76.19%  ,1.96M
2021-04-20 16:44:49.653630, WBTC-KLONX,165.66%  ,317.08K
2021-04-20 16:44:49.673198, FARM/ETH,35.85%,13.96M
2021-04-20 16:44:49.692644, FARM/GRAIN,108.25%,169.73K
2021-04-20 16:44:49.730226, DAI-BAC,16.95%  ,1.29M
2021-04-20 16:44:49.751886, DAI-BASv2,56.13%  ,191.61K
2021-04-20 16:44:49.773744, DAI-BSG,179.84%  ,13.37K
2021-04-20 16:44:49.796915, DAI-BSGS,101.81%  ,12.79K
2021-04-20 16:44:49.834624, MAAPL-UST,103.93%  ,262.92K
2021-04-20 16:44:49.854187, MAMZN-UST,90.92%  ,358.44K
2021-04-20 16:44:49.874305, MGOOGL-UST,91.45%  ,373.58K
2021-04-20 16:44:49.893885, MTSLA-UST,80.21%  ,486.19K
2021-04-20 16:44:49.913658, MNFLX-UST,123.53%  ,406.16K
2021-04-20 16:44:49.933449, MTWTR-UST,119.47%  ,416.46K
2021-04-20 16:44:49.973451, CRV:LINK,21.39%  ,2.20M
2021-04-20 16:44:50.017189, TUSD,Inactive ,26.60K
2021-04-20 16:44:50.038499, CRV:AAVE,Inactive ,12.41K
2021-04-20 16:44:50.058769, RENBTC,Inactive ,143.25K
2021-04-20 16:44:50.079316, MIC-USDT,Inactive ,284.08K
2021-04-20 16:44:50.099832, MIS-USDT,Inactive ,75.81K
2021-04-20 16:44:50.123450, WBTC-TBTC,Inactive ,1.12K
2021-04-20 16:44:50.154108, ETH-DAI,Inactive ,15.02K
2021-04-20 16:44:50.190227, ETH-USDC,Inactive ,26.04K
2021-04-20 16:44:50.227587, ETH-USDT,Inactive ,8.50K
2021-04-20 16:44:50.262820, ETH-WBTC,Inactive ,33.63K
2021-04-20 16:44:50.302193, BAC,Inactive ,705.69
2021-04-20 16:44:50.337022, ESD,Inactive ,58.05K
2021-04-20 16:44:50.370288, DSD,Inactive ,4.76K
2021-04-20 16:44:50.392838, FARM/USDC,Inactive,87.14K
2021-04-21 12:42:48.259493, WETH,5.68%  ,15.03M
2021-04-21 12:42:48.282633, MEME20-ETH,490.56%  ,159.77K
2021-04-21 12:42:48.308347, GPUNKS20-ETH,624.06%  ,69.29K
2021-04-21 12:42:48.335869, ETH-MVI,45.56%  ,920.29K
2021-04-21 12:42:48.362700, KXUSD-DAI,229.93%  ,289.98K
2021-04-21 12:42:48.385472, FARM,41.12%,75.78M
2021-04-21 12:42:48.423651, USDC,15.87%  ,49.48M
2021-04-21 12:42:48.442848, USDT,16.54%  ,7.12M
2021-04-21 12:42:48.463872, DAI,15.65%  ,13.13M
2021-04-21 12:42:48.485067, CRV:HUSD,12.48%  ,1.79M
2021-04-21 12:42:48.506910, YCRV,22.13%  ,1.85M
2021-04-21 12:42:48.529001, 3CRV,10.53%  ,7.84M
2021-04-21 12:42:48.553430, CRV:COMPOUND,16.18%  ,4.12M
2021-04-21 12:42:48.578378, CRV:BUSD,23.26%  ,5.17M
2021-04-21 12:42:48.598233, CRV:USDN,53.39%  ,12.13M
2021-04-21 12:42:48.617887, CRV:EURS,30.97%  ,489.19K
2021-04-21 12:42:48.637823, CRV:GUSD,27.11%  ,229.14K
2021-04-21 12:42:48.657523, CRV:UST,27.42%  ,286.87K
2021-04-21 12:42:48.677234, CRV:USDP,40.05%  ,346.05K
2021-04-21 12:42:48.714692, SUSHI,14.81%  ,2.42M
2021-04-21 12:42:48.735727, ETH-DAI,63.51%  ,8.84M
2021-04-21 12:42:48.760270, ETH-USDC,59.98%  ,5.36M
2021-04-21 12:42:48.782820, ETH-USDT,65.54%  ,5.37M
2021-04-21 12:42:48.805849, ETH-WBTC,26.08%  ,10.38M
