,vault_name,vault_apy,vault_total_assets
2021-05-03 16:35:12.059992, ETH-DAI,Inactive ,18.45K
2021-05-03 16:35:12.081872, ETH-USDC,Inactive ,31.64K
2021-05-03 16:35:12.102776, ETH-USDT,Inactive ,10.15K
2021-05-03 16:35:12.123218, ETH-WBTC,Inactive ,41.74K
2021-05-03 16:35:12.153246, DAI-BSG,Inactive ,10.99K
2021-05-03 16:35:12.183794, DAI-BSGS,Inactive ,9.55K
2021-05-03 16:35:12.218930, BAC,Inactive ,747.52
2021-05-03 16:35:12.252304, ESD,Inactive ,35.22K
2021-05-03 16:35:12.280295, DSD,Inactive ,3.78K
2021-05-03 16:35:12.312713, FARM/USDC,Inactive,70.42K
2021-05-04 18:39:04.261353, WETH,3.14%  ,20.56M
2021-05-04 18:39:04.285838, ETH-PERP,4.59%  ,341.25
2021-05-04 18:39:04.307064, ETH-MVI,30.83%  ,1.11M
2021-05-04 18:39:04.351179, KXUSD-DAI,119.97%  ,241.07K
2021-05-04 18:39:04.413795, FARM,43.97%,55.71M
2021-05-04 18:39:04.461775, USDC,16.45%  ,42.69M
2021-05-04 18:39:04.493348, USDT,20.87%  ,4.08M
2021-05-04 18:39:04.523837, DAI,16.25%  ,13.72M
2021-05-04 18:39:04.545137, CRV:HUSD,13.25%  ,1.83M
2021-05-04 18:39:04.567074, YCRV,15.19%  ,1.78M
2021-05-04 18:39:04.588370, 3CRV,8.14%  ,7.98M
2021-05-04 18:39:04.609397, CRV:COMPOUND,19.59%  ,1.72M
2021-05-04 18:39:04.630785, CRV:BUSD,24.15%  ,4.31M
2021-05-04 18:39:04.651366, CRV:USDN,27.63%  ,10.04M
2021-05-04 18:39:04.676928, CRV:EURS,44.40%  ,1.60M
2021-05-04 18:39:04.707544, CRV:GUSD,40.61%  ,83.11K
2021-05-04 18:39:04.729299, CRV:UST,20.45%  ,537.20K
2021-05-04 18:39:04.752877, CRV:USDP,27.33%  ,519.67K
2021-05-04 18:39:04.795505, SUSHI,22.95%  ,4.55M
2021-05-04 18:39:04.817122, ETH-DAI,62.68%  ,18.97M
2021-05-04 18:39:04.838243, ETH-USDC,65.25%  ,7.76M
2021-05-04 18:39:04.859610, ETH-USDT,65.48%  ,6.54M
2021-05-04 18:39:04.880896, ETH-WBTC,38.98%  ,13.52M
2021-05-04 18:39:04.931188, CRV:STETH,11.59%  ,56.54M
2021-05-04 18:39:04.972806, CRV:HBTC,5.65%  ,12.61M
2021-05-04 18:39:04.993948, CRV:OBTC,13.58%  ,9.43M
2021-05-04 18:39:05.016402, CRV:TBTC,3.41%  ,673.32K
2021-05-04 18:39:05.039433, CRV:RENWBTC,2.67%  ,85.62M
2021-05-04 18:39:05.059803, WBTC,1.23%  ,1.83M
2021-05-04 18:39:05.099864, MUSE-ETH,251.83%  ,684.51K
2021-05-04 18:39:05.120970, DUDES20-ETH,992.94%  ,91.87K
2021-05-04 18:39:05.142051, MASK20-ETH,375.67%  ,106.55K
2021-05-04 18:39:05.162745, ROPE20-ETH,1695.80%  ,102.60K
2021-05-04 18:39:05.184543, MCAT20-ETH,382.73%  ,108.75K
2021-05-04 18:39:05.208528, MEME20-ETH,706.03%  ,99.14K
2021-05-04 18:39:05.232181, GPUNKS20-ETH,671.30%  ,60.13K
2021-05-04 18:39:05.273547, 1INCH-ETH,65.93%  ,1.18M
2021-05-04 18:39:05.294983, 1INCH-USDC,88.84%  ,1.67M
2021-05-04 18:39:05.315549, 1INCH-WBTC,81.75%  ,989.86K
2021-05-04 18:39:05.354584, ETH-DAI,62.68%  ,273.81K
2021-05-04 18:39:05.375010, ETH-USDC,65.25%  ,427.64K
2021-05-04 18:39:05.405358, ETH-USDT,65.48%  ,381.03K
2021-05-04 18:39:05.444488, ETH-WBTC,38.98%  ,11.69M
2021-05-04 18:39:05.505286, ETH-SUSHI,24.86%  ,10.74M
2021-05-04 18:39:05.530761, ETH-DAI,35.51%  ,18.02M
2021-05-04 18:39:05.551213, ETH-USDC,39.68%  ,12.84M
2021-05-04 18:39:05.571757, ETH-USDT,37.90%  ,36.10M
2021-05-04 18:39:05.597069, ETH-WBTC,13.81%  ,17.37M
2021-05-04 18:39:05.622268, ETH-UST,53.45%  ,463.94K
2021-05-04 18:39:05.666485, ETH-DPI,20.07%  ,3.85M
2021-05-04 18:39:05.688842, WBTC-KBTC,115.54%  ,800.01K
2021-05-04 18:39:05.709497, WBTC-KLONX,117.02%  ,90.63K
2021-05-04 18:39:05.730190, FARM/ETH,53.87%,14.13M
2021-05-04 18:39:05.750713, FARM/GRAIN,88.39%,127.45K
2021-05-04 18:39:05.790037, DAI-BAC,13.53%  ,1.07M
2021-05-04 18:39:05.811456, DAI-BASv2,70.16%  ,92.79K
2021-05-04 18:39:05.852317, MAAPL-UST,94.92%  ,466.79K
2021-05-04 18:39:05.876629, MAMZN-UST,102.44%  ,306.55K
2021-05-04 18:39:05.899400, MGOOGL-UST,99.43%  ,338.37K
2021-05-04 18:39:05.921432, MTSLA-UST,95.82%  ,256.38K
2021-05-04 18:39:05.946199, MNFLX-UST,141.87%  ,362.88K
2021-05-04 18:39:05.972712, MTWTR-UST,150.92%  ,404.91K
2021-05-04 18:39:06.023436, CRV:LINK,8.98%  ,2.99M
2021-05-04 18:39:06.074537, TUSD,Inactive ,24.25K
2021-05-04 18:39:06.109814, CRV:AAVE,Inactive ,12.41K
2021-05-04 18:39:06.132572, RENBTC,Inactive ,136.09K
2021-05-04 18:39:06.153949, MIC-USDT,Inactive ,281.50K
2021-05-04 18:39:06.174307, MIS-USDT,Inactive ,82.48K
2021-05-04 18:39:06.195076, WBTC-TBTC,Inactive ,1.10K
2021-05-04 18:39:06.215955, ETH-DAI,Inactive ,18.99K
2021-05-04 18:39:06.236754, ETH-USDC,Inactive ,32.67K
2021-05-04 18:39:06.257057, ETH-USDT,Inactive ,10.45K
2021-05-04 18:39:06.277993, ETH-WBTC,Inactive ,41.60K
2021-05-04 18:39:06.299978, DAI-BSG,Inactive ,10.99K
2021-05-04 18:39:06.325826, DAI-BSGS,Inactive ,9.56K
2021-05-04 18:39:06.347389, BAC,Inactive ,829.90
2021-05-04 18:39:06.369496, ESD,Inactive ,35.54K
2021-05-04 18:39:06.391160, DSD,Inactive ,3.83K
2021-05-04 18:39:06.411894, FARM/USDC,Inactive,73.07K
2021-05-05 17:40:13.183533, WETH,3.14%  ,19.20M
2021-05-05 17:40:13.239330, ETH-PERP,165.85%  ,59.80K
2021-05-05 17:40:13.274269, ETH-MVI,30.96%  ,1.14M
2021-05-05 17:40:13.309314, KXUSD-DAI,125.58%  ,240.97K
2021-05-05 17:40:13.356787, FARM,44.90%,53.66M
2021-05-05 17:40:13.429041, USDC,17.09%  ,42.59M
2021-05-05 17:40:13.476413, USDT,17.82%  ,4.32M
2021-05-05 17:40:13.509596, DAI,16.31%  ,14.45M
2021-05-05 17:40:13.537605, CRV:HUSD,14.51%  ,1.83M
2021-05-05 17:40:13.570785, YCRV,20.45%  ,1.77M
2021-05-05 17:40:13.595060, 3CRV,7.67%  ,7.98M
2021-05-05 17:40:13.628063, CRV:COMPOUND,18.50%  ,1.72M
2021-05-05 17:40:13.665656, CRV:BUSD,35.31%  ,4.31M
2021-05-05 17:40:13.701996, CRV:USDN,56.72%  ,10.48M
2021-05-05 17:40:13.749849, CRV:EURS,44.81%  ,1.58M
2021-05-05 17:40:13.788927, CRV:GUSD,35.50%  ,84.02K
2021-05-05 17:40:13.822416, CRV:UST,18.62%  ,537.20K
2021-05-05 17:40:13.859680, CRV:USDP,26.29%  ,532.15K
2021-05-05 17:40:13.928324, SUSHI,13.73%  ,4.92M
2021-05-05 17:40:13.966073, ETH-DAI,75.36%  ,19.27M
2021-05-05 17:40:14.031038, ETH-USDC,71.62%  ,7.88M
2021-05-05 17:40:14.071576, ETH-USDT,74.77%  ,6.64M
2021-05-05 17:40:14.102410, ETH-WBTC,38.21%  ,14.13M
2021-05-05 17:40:14.167226, CRV:STETH,13.19%  ,58.27M
2021-05-05 17:40:14.227133, CRV:HBTC,5.54%  ,13.37M
2021-05-05 17:40:14.268747, CRV:OBTC,13.41%  ,9.99M
2021-05-05 17:40:14.303175, CRV:TBTC,3.41%  ,713.72K
2021-05-05 17:40:14.335994, CRV:RENWBTC,2.29%  ,90.73M
2021-05-05 17:40:14.378878, WBTC,1.08%  ,1.94M
2021-05-05 17:40:14.454764, MUSE-ETH,257.93%  ,717.74K
2021-05-05 17:40:14.492681, DUDES20-ETH,890.12%  ,97.09K
2021-05-05 17:40:14.525471, MASK20-ETH,353.39%  ,108.01K
2021-05-05 17:40:14.563862, ROPE20-ETH,1220.93%  ,95.74K
2021-05-05 17:40:14.604033, MCAT20-ETH,475.22%  ,72.69K
2021-05-05 17:40:14.639653, MEME20-ETH,669.69%  ,103.91K
2021-05-05 17:40:14.673027, GPUNKS20-ETH,633.95%  ,62.77K
2021-05-05 17:40:14.776885, 1INCH-ETH,62.19%  ,1.24M
2021-05-05 17:40:14.827865, 1INCH-USDC,87.17%  ,1.74M
2021-05-05 17:40:14.880549, 1INCH-WBTC,84.88%  ,1.05M
2021-05-05 17:40:14.973330, ETH-DAI,75.36%  ,278.06K
2021-05-05 17:40:15.011767, ETH-USDC,71.62%  ,434.10K
2021-05-05 17:40:15.060823, ETH-USDT,74.77%  ,386.96K
2021-05-05 17:40:15.107846, ETH-WBTC,38.21%  ,12.21M
2021-05-05 17:40:15.191135, ETH-SUSHI,24.82%  ,11.28M
2021-05-05 17:40:15.241256, ETH-DAI,57.79%  ,18.31M
2021-05-05 17:40:15.327572, ETH-USDC,54.63%  ,13.04M
2021-05-05 17:40:15.381039, ETH-USDT,56.03%  ,36.68M
2021-05-05 17:40:15.407603, ETH-WBTC,22.15%  ,18.16M
2021-05-05 17:40:15.434009, ETH-UST,333.82%  ,431.10K
2021-05-05 17:40:15.474595, ETH-DPI,23.23%  ,3.92M
2021-05-05 17:40:15.497855, WBTC-KBTC,116.39%  ,861.63K
2021-05-05 17:40:15.518672, WBTC-KLONX,114.23%  ,90.21K
2021-05-05 17:40:15.541068, FARM/ETH,23.01%,13.88M
2021-05-05 17:40:15.562410, FARM/GRAIN,87.63%,119.78K
2021-05-05 17:40:15.601125, DAI-BAC,11.26%  ,1.11M
2021-05-05 17:40:15.622483, DAI-BASv2,60.09%  ,92.70K
2021-05-05 17:40:15.664581, MAAPL-UST,94.69%  ,468.83K
2021-05-05 17:40:15.694156, MAMZN-UST,97.57%  ,306.75K
2021-05-05 17:40:15.719197, MGOOGL-UST,120.61%  ,340.94K
2021-05-05 17:40:15.743237, MTSLA-UST,90.98%  ,258.07K
2021-05-05 17:40:15.767336, MNFLX-UST,130.37%  ,432.72K
2021-05-05 17:40:15.788652, MTWTR-UST,137.51%  ,358.28K
2021-05-05 17:40:15.847356, TUSD,Inactive ,24.24K
2021-05-05 17:40:15.869216, CRV:AAVE,Inactive ,12.41K
2021-05-05 17:40:15.891118, RENBTC,Inactive ,144.29K
2021-05-05 17:40:15.912708, MIC-USDT,Inactive ,280.90K
2021-05-05 17:40:15.933376, MIS-USDT,Inactive ,79.28K
2021-05-05 17:40:15.955414, WBTC-TBTC,Inactive ,1.17K
2021-05-05 17:40:15.987530, ETH-DAI,Inactive ,19.30K
2021-05-05 17:40:16.018897, ETH-USDC,Inactive ,33.20K
2021-05-05 17:40:16.041037, ETH-USDT,Inactive ,10.62K
2021-05-05 17:40:16.062303, ETH-WBTC,Inactive ,43.48K
2021-05-05 17:40:16.083321, DAI-BSG,Inactive ,10.99K
2021-05-05 17:40:16.105787, DAI-BSGS,Inactive ,9.27K
2021-05-05 17:40:16.132457, BAC,Inactive ,895.39
2021-05-05 17:40:16.158759, ESD,Inactive ,34.81K
2021-05-05 17:40:16.179843, DSD,Inactive ,4.07K
2021-05-05 17:40:16.202647, FARM/USDC,Inactive,70.11K
2021-05-06 17:32:25.519016, WETH,2.98%  ,20.89M
2021-05-06 17:32:25.556409, COMFI-ETH,1136111857...%  ,773.04K
2021-05-06 17:32:25.582063, ETH-PERP,589.32%  ,30.29K
2021-05-06 17:32:25.612592, ETH-MVI,27.62%  ,1.19M
2021-05-06 17:32:25.638673, KXUSD-DAI,127.03%  ,239.91K
2021-05-06 17:32:25.660571, FARM,46.35%,56.76M
2021-05-06 17:32:25.705724, USDC,17.97%  ,42.54M
2021-05-06 17:32:25.745003, USDT,15.21%  ,4.29M
2021-05-06 17:32:25.779016, DAI,16.75%  ,14.45M
2021-05-06 17:32:25.805637, CRV:HUSD,14.80%  ,1.81M
2021-05-06 17:32:25.831448, YCRV,17.97%  ,1.77M
2021-05-06 17:32:25.854620, 3CRV,8.14%  ,7.98M
2021-05-06 17:32:25.875709, CRV:COMPOUND,22.82%  ,1.72M
2021-05-06 17:32:25.895852, CRV:BUSD,23.40%  ,11.50M
2021-05-06 17:32:25.919184, CRV:USDN,30.65%  ,12.12M
2021-05-06 17:32:25.941393, CRV:EURS,37.80%  ,1.59M
2021-05-06 17:32:25.962134, CRV:GUSD,38.88%  ,84.13K
2021-05-06 17:32:25.982600, CRV:UST,19.47%  ,535.00K
2021-05-06 17:32:26.003060, CRV:USDP,27.62%  ,533.26K
2021-05-06 17:32:26.051443, SUSHI,9.55%  ,5.95M
2021-05-06 17:32:26.075596, ETH-DAI,55.71%  ,19.67M
2021-05-06 17:32:26.095549, ETH-USDC,57.00%  ,8.05M
2021-05-06 17:32:26.116218, ETH-USDT,62.51%  ,6.78M
2021-05-06 17:32:26.136911, ETH-WBTC,33.07%  ,14.40M
2021-05-06 17:32:26.175531, CRV:STETH,14.26%  ,60.80M
2021-05-06 17:32:26.213490, CRV:HBTC,6.17%  ,13.05M
2021-05-06 17:32:26.234166, CRV:OBTC,13.68%  ,9.95M
2021-05-06 17:32:26.255721, CRV:TBTC,3.68%  ,710.70K
2021-05-06 17:32:26.282386, CRV:RENWBTC,2.48%  ,90.32M
2021-05-06 17:32:26.305222, WBTC,1.16%  ,1.93M
2021-05-06 17:32:26.343000, MUSE-ETH,245.13%  ,700.32K
2021-05-06 17:32:26.363172, DUDES20-ETH,840.19%  ,101.10K
2021-05-06 17:32:26.383291, MASK20-ETH,380.49%  ,109.07K
2021-05-06 17:32:26.403485, ROPE20-ETH,1140.93%  ,99.69K
2021-05-06 17:32:26.424122, MCAT20-ETH,433.43%  ,75.96K
2021-05-06 17:32:26.444372, MEME20-ETH,642.45%  ,102.86K
2021-05-06 17:32:26.466219, GPUNKS20-ETH,607.49%  ,65.37K
2021-05-06 17:32:26.527866, 1INCH-ETH,65.93%  ,1.37M
2021-05-06 17:32:26.572699, 1INCH-USDC,114.55%  ,1.36M
2021-05-06 17:32:26.608645, 1INCH-WBTC,102.28%  ,1.15M
2021-05-06 17:32:26.662231, ETH-DAI,55.71%  ,283.89K
2021-05-06 17:32:26.707648, ETH-USDC,57.00%  ,443.43K
2021-05-06 17:32:26.747408, ETH-USDT,62.51%  ,395.08K
2021-05-06 17:32:26.789171, ETH-WBTC,33.07%  ,12.44M
2021-05-06 17:32:26.841316, ETH-SUSHI,23.82%  ,12.58M
2021-05-06 17:32:26.866723, ETH-DAI,41.62%  ,18.71M
2021-05-06 17:32:26.889981, ETH-USDC,43.48%  ,13.33M
2021-05-06 17:32:26.916152, ETH-USDT,47.26%  ,37.48M
2021-05-06 17:32:26.940990, ETH-WBTC,20.53%  ,18.50M
2021-05-06 17:32:26.968907, ETH-UST,113.20%  ,449.71K
2021-05-06 17:32:27.013462, ETH-DPI,15.02%  ,4.56M
2021-05-06 17:32:27.035299, WBTC-KBTC,112.42%  ,858.64K
2021-05-06 17:32:27.057461, WBTC-KLONX,113.03%  ,83.70K
2021-05-06 17:32:27.078116, FARM/ETH,17.32%,14.72M
2021-05-06 17:32:27.098390, FARM/GRAIN,76.64%,136.74K
2021-05-06 17:32:27.137350, DAI-BAC,10.12%  ,1.07M
2021-05-06 17:32:27.162447, DAI-BASv2,66.38%  ,89.93K
2021-05-06 17:32:27.203403, MAAPL-UST,84.09%  ,466.07K
2021-05-06 17:32:27.224269, MAMZN-UST,93.73%  ,305.36K
2021-05-06 17:32:27.244672, MGOOGL-UST,88.99%  ,341.15K
2021-05-06 17:32:27.265862, MTSLA-UST,87.49%  ,284.51K
2021-05-06 17:32:27.286273, MNFLX-UST,135.63%  ,423.50K
2021-05-06 17:32:27.307208, MTWTR-UST,134.37%  ,496.91K
2021-05-06 17:32:27.346562, CRV:LINK,8.73%  ,3.17M
2021-05-06 17:32:27.393369, TUSD,Inactive ,24.25K
2021-05-06 17:32:27.427108, CRV:AAVE,Inactive ,12.41K
2021-05-06 17:32:27.460266, RENBTC,Inactive ,143.44K
2021-05-06 17:32:27.485975, MIC-USDT,Inactive ,280.18K
2021-05-06 17:32:27.518768, MIS-USDT,Inactive ,78.07K
2021-05-06 17:32:27.543153, WBTC-TBTC,Inactive ,1.17K
2021-05-06 17:32:27.576227, ETH-DAI,Inactive ,19.71K
2021-05-06 17:32:27.606955, ETH-USDC,Inactive ,33.93K
2021-05-06 17:32:27.632493, ETH-USDT,Inactive ,10.85K
2021-05-06 17:32:27.659115, ETH-WBTC,Inactive ,44.30K
2021-05-06 17:32:27.688986, DAI-BSG,Inactive ,2.05K
2021-05-06 17:32:27.712442, DAI-BSGS,Inactive ,9.43K
2021-05-06 17:32:27.741174, BAC,Inactive ,831.40
2021-05-06 17:32:27.769345, ESD,Inactive ,34.94K
2021-05-06 17:32:27.794407, DSD,Inactive ,3.98K
2021-05-06 17:32:27.827530, FARM/USDC,Inactive,72.32K
2021-05-07 18:17:55.841792, WETH,2.90%  ,20.83M
2021-05-07 18:17:55.897021, COMFI-ETH,1581586092...%  ,905.16K
2021-05-07 18:17:55.927176, ETH-PERP,150.09%  ,63.86K
2021-05-07 18:17:55.951970, ETH-MVI,26.24%  ,1.18M
2021-05-07 18:17:55.980413, KXUSD-DAI,118.88%  ,239.34K
2021-05-07 18:17:56.008207, FARM,45.39%,54.90M
2021-05-07 18:17:56.055509, USDC,17.35%  ,42.41M
2021-05-07 18:17:56.078150, USDT,15.43%  ,4.35M
2021-05-07 18:17:56.100544, DAI,14.71%  ,14.94M
2021-05-07 18:17:56.122680, CRV:HUSD,15.98%  ,1.90M
2021-05-07 18:17:56.145051, YCRV,15.85%  ,1.77M
2021-05-07 18:17:56.169415, 3CRV,9.07%  ,7.98M
2021-05-07 18:17:56.213967, CRV:COMPOUND,21.87%  ,1.72M
2021-05-07 18:17:56.252500, CRV:BUSD,17.57%  ,4.31M
2021-05-07 18:17:56.276919, CRV:USDN,31.48%  ,12.13M
2021-05-07 18:17:56.298298, CRV:EURS,38.34%  ,1.58M
2021-05-07 18:17:56.331131, CRV:GUSD,22.88%  ,186.01K
2021-05-07 18:17:56.353836, CRV:UST,20.19%  ,536.81K
2021-05-07 18:17:56.379038, CRV:USDP,30.57%  ,438.25K
2021-05-07 18:17:56.422744, SUSHI,11.30%  ,5.90M
2021-05-07 18:17:56.443407, ETH-DAI,46.77%  ,19.48M
2021-05-07 18:17:56.464326, ETH-USDC,42.95%  ,8.04M
2021-05-07 18:17:56.485816, ETH-USDT,47.86%  ,7.04M
2021-05-07 18:17:56.506905, ETH-WBTC,27.98%  ,14.50M
2021-05-07 18:17:56.551044, CRV:STETH,12.14%  ,60.44M
2021-05-07 18:17:56.598238, CRV:HBTC,6.91%  ,13.52M
2021-05-07 18:17:56.620125, CRV:OBTC,13.72%  ,10.11M
2021-05-07 18:17:56.641676, CRV:TBTC,3.88%  ,722.48K
2021-05-07 18:17:56.663259, CRV:RENWBTC,2.86%  ,91.97M
2021-05-07 18:17:56.684973, WBTC,1.10%  ,1.96M
2021-05-07 18:17:56.784854, MUSE-ETH,235.33%  ,699.52K
2021-05-07 18:17:56.893925, DUDES20-ETH,799.01%  ,100.75K
2021-05-07 18:17:56.968502, MASK20-ETH,360.78%  ,105.49K
2021-05-07 18:17:57.056196, ROPE20-ETH,1126.69%  ,98.45K
2021-05-07 18:17:57.119460, MCAT20-ETH,436.41%  ,69.46K
2021-05-07 18:17:57.181833, MEME20-ETH,617.82%  ,103.59K
2021-05-07 18:17:57.223881, GPUNKS20-ETH,579.46%  ,65.78K
2021-05-07 18:17:57.297017, 1INCH-ETH,77.95%  ,1.37M
2021-05-07 18:17:57.335664, 1INCH-USDC,125.93%  ,1.38M
2021-05-07 18:17:57.371621, 1INCH-WBTC,105.29%  ,1.16M
2021-05-07 18:17:57.444547, ETH-DAI,46.77%  ,280.45K
2021-05-07 18:17:57.497265, ETH-USDC,42.95%  ,442.61K
2021-05-07 18:17:57.527717, ETH-USDT,47.86%  ,396.56K
2021-05-07 18:17:57.578905, ETH-WBTC,27.98%  ,12.52M
2021-05-07 18:17:57.751881, ETH-SUSHI,25.60%  ,12.44M
2021-05-07 18:17:57.806011, ETH-DAI,32.38%  ,18.68M
2021-05-07 18:17:57.840656, ETH-USDC,29.30%  ,13.30M
2021-05-07 18:17:57.865698, ETH-USDT,32.52%  ,37.62M
2021-05-07 18:17:57.901850, ETH-WBTC,14.83%  ,18.63M
2021-05-07 18:17:57.922443, ETH-UST,75.35%  ,450.13K
2021-05-07 18:17:57.971565, ETH-DPI,15.57%  ,3.84M
2021-05-07 18:17:58.010340, WBTC-KBTC,106.01%  ,856.72K
2021-05-07 18:17:58.044268, WBTC-KLONX,108.81%  ,81.91K
2021-05-07 18:17:58.068926, FARM/ETH,20.07%,14.45M
2021-05-07 18:17:58.092766, FARM/GRAIN,74.42%,136.48K
2021-05-07 18:17:58.135633, DAI-BAC,70.76%  ,1.03M
2021-05-07 18:17:58.162436, DAI-BASv2,131.47%  ,87.26K
2021-05-07 18:17:58.213574, MAAPL-UST,75.95%  ,471.67K
2021-05-07 18:17:58.241905, MAMZN-UST,84.51%  ,293.72K
2021-05-07 18:17:58.264661, MGOOGL-UST,83.98%  ,340.81K
2021-05-07 18:17:58.289675, MTSLA-UST,89.65%  ,261.69K
2021-05-07 18:17:58.313066, MNFLX-UST,121.57%  ,406.17K
2021-05-07 18:17:58.338778, MTWTR-UST,123.07%  ,500.48K
2021-05-07 18:17:58.433457, CRV:LINK,8.42%  ,3.43M
2021-05-07 18:17:58.475984, TUSD,Inactive ,24.19K
2021-05-07 18:17:58.501206, CRV:AAVE,Inactive ,12.41K
2021-05-07 18:17:58.522206, RENBTC,Inactive ,145.36K
2021-05-07 18:17:58.543351, MIC-USDT,Inactive ,279.81K
2021-05-07 18:17:58.565402, MIS-USDT,Inactive ,77.96K
2021-05-07 18:17:58.590612, WBTC-TBTC,Inactive ,1.19K
2021-05-07 18:17:58.611853, ETH-DAI,Inactive ,19.68K
2021-05-07 18:17:58.636183, ETH-USDC,Inactive ,33.88K
2021-05-07 18:17:58.658610, ETH-USDT,Inactive ,10.90K
2021-05-07 18:17:58.683196, ETH-WBTC,Inactive ,44.60K
2021-05-07 18:17:58.708890, DAI-BSG,Inactive ,2.13K
2021-05-07 18:17:58.742388, DAI-BSGS,Inactive ,5.47K
2021-05-07 18:17:58.768921, BAC,Inactive ,586.85
2021-05-07 18:17:58.794678, ESD,Inactive ,34.18K
2021-05-07 18:17:58.823564, DSD,Inactive ,3.74K
2021-05-07 18:17:58.872880, FARM/USDC,Inactive,71.11K
2021-05-08 16:58:47.076472, WETH,2.92%  ,21.40M
2021-05-08 16:58:47.100870, COMFI-ETH,1000599719...%  ,884.91K
2021-05-08 16:58:47.121483, ETH-PERP,54.56%  ,165.48K
2021-05-08 16:58:47.163159, ETH-MVI,25.87%  ,1.19M
2021-05-08 16:58:47.194718, KXUSD-DAI,114.63%  ,242.36K
2021-05-08 16:58:47.227187, FARM,44.48%,56.58M
2021-05-08 16:58:47.275380, USDC,18.38%  ,42.38M
2021-05-08 16:58:47.309483, USDT,16.92%  ,4.30M
2021-05-08 16:58:47.331402, DAI,15.46%  ,14.97M
2021-05-08 16:58:47.353991, CRV:HUSD,16.09%  ,1.82M
2021-05-08 16:58:47.375036, YCRV,17.05%  ,1.77M
2021-05-08 16:58:47.396854, 3CRV,8.93%  ,7.99M
2021-05-08 16:58:47.419408, CRV:COMPOUND,23.06%  ,1.72M
2021-05-08 16:58:47.439888, CRV:BUSD,15.44%  ,4.31M
2021-05-08 16:58:47.460618, CRV:USDN,31.13%  ,12.13M
2021-05-08 16:58:47.481771, CRV:EURS,38.68%  ,1.70M
2021-05-08 16:58:47.505250, CRV:GUSD,22.78%  ,184.18K
2021-05-08 16:58:47.525704, CRV:UST,20.48%  ,533.94K
2021-05-08 16:58:47.546805, CRV:USDP,29.87%  ,433.96K
2021-05-08 16:58:47.590123, SUSHI,9.35%  ,5.70M
2021-05-08 16:58:47.612692, ETH-DAI,39.46%  ,19.44M
2021-05-08 16:58:47.633877, ETH-USDC,40.99%  ,8.15M
2021-05-08 16:58:47.656400, ETH-USDT,44.71%  ,6.79M
2021-05-08 16:58:47.677049, ETH-WBTC,24.18%  ,14.76M
2021-05-08 16:58:47.715901, CRV:STETH,14.57%  ,62.10M
2021-05-08 16:58:47.753516, CRV:HBTC,6.61%  ,13.42M
2021-05-08 16:58:47.773933, CRV:OBTC,13.74%  ,10.20M
2021-05-08 16:58:47.795371, CRV:TBTC,3.90%  ,728.84K
2021-05-08 16:58:47.816458, CRV:RENWBTC,3.76%  ,92.75M
2021-05-08 16:58:47.837186, WBTC,1.13%  ,1.97M
2021-05-08 16:58:47.876211, MUSE-ETH,236.79%  ,709.11K
2021-05-08 16:58:47.897994, DUDES20-ETH,1327.94%  ,103.86K
2021-05-08 16:58:47.919046, MASK20-ETH,359.68%  ,108.78K
2021-05-08 16:58:47.940931, ROPE20-ETH,1078.52%  ,101.48K
2021-05-08 16:58:47.962254, MCAT20-ETH,436.92%  ,70.55K
2021-05-08 16:58:47.987449, MEME20-ETH,601.12%  ,106.78K
2021-05-08 16:58:48.008938, GPUNKS20-ETH,569.42%  ,67.55K
2021-05-08 16:58:48.050161, 1INCH-ETH,74.09%  ,1.44M
2021-05-08 16:58:48.071720, 1INCH-USDC,118.60%  ,1.41M
2021-05-08 16:58:48.095040, 1INCH-WBTC,92.07%  ,1.01M
2021-05-08 16:58:48.144350, ETH-DAI,39.46%  ,284.40K
2021-05-08 16:58:48.169824, ETH-USDC,40.99%  ,448.82K
2021-05-08 16:58:48.192109, ETH-USDT,44.71%  ,86.32K
2021-05-08 16:58:48.212788, ETH-WBTC,24.18%  ,12.75M
2021-05-08 16:58:48.264492, ETH-SUSHI,25.55%  ,12.46M
2021-05-08 16:58:48.288109, ETH-DAI,27.24%  ,18.94M
2021-05-08 16:58:48.310009, ETH-USDC,29.44%  ,13.49M
2021-05-08 16:58:48.332043, ETH-USDT,31.23%  ,37.94M
2021-05-08 16:58:48.353415, ETH-WBTC,13.15%  ,18.97M
2021-05-08 16:58:48.374630, ETH-UST,75.18%  ,455.12K
2021-05-08 16:58:48.428044, ETH-DPI,16.00%  ,3.59M
2021-05-08 16:58:48.453886, WBTC-KBTC,98.33%  ,871.65K
2021-05-08 16:58:48.474591, WBTC-KLONX,108.78%  ,80.28K
2021-05-08 16:58:48.499539, FARM/ETH,20.66%,14.88M
2021-05-08 16:58:48.523793, FARM/GRAIN,82.17%,133.24K
2021-05-08 16:58:48.583944, DAI-BAC,70.19%  ,974.89K
2021-05-08 16:58:48.651299, DAI-BASv2,130.87%  ,85.88K
2021-05-08 16:58:48.702343, MAAPL-UST,75.71%  ,467.06K
2021-05-08 16:58:48.735043, MAMZN-UST,85.08%  ,292.01K
2021-05-08 16:58:48.786010, MGOOGL-UST,82.07%  ,339.45K
2021-05-08 16:58:48.811178, MTSLA-UST,81.95%  ,260.16K
2021-05-08 16:58:48.833072, MNFLX-UST,118.26%  ,441.00K
